dt64,id,river_km_id,datetime,water_perc,ice_perc,other_perc,cloud_perc,nd_perc,qc,source
2017-06-04 17:16:53,26969,232808,2017-06-04T17:16:53,76,22,0,0,2,low quality,Sentinel-1
2017-06-05 17:08:06,27044,232808,2017-06-05T17:08:06,68,29,0,0,3,low quality,Sentinel-1 Sentinel-2
2017-06-08 05:35:07,27086,232808,2017-06-08T05:35:07,67,31,0,0,2,low quality,Sentinel-1
2017-06-09 17:25:17,27163,232808,2017-06-09T17:25:17,77,20,0,0,3,low quality,Sentinel-1 Sentinel-2
2017-06-10 17:16:16,27240,232808,2017-06-10T17:16:16,82,17,0,0,1,low quality,Sentinel-1 Sentinel-2
2017-06-11 17:08:50,27316,232808,2017-06-11T17:08:50,72,26,0,0,2,low quality,Sentinel-1
2017-06-14 05:34:33,27359,232808,2017-06-14T05:34:33,72,26,0,0,2,low quality,Sentinel-1
2017-06-15 17:24:26,27436,232808,2017-06-15T17:24:26,78,20,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-06-16 17:16:54,27513,232808,2017-06-16T17:16:54,85,13,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-06-17 17:08:07,27588,232808,2017-06-17T17:08:07,77,20,0,0,3,low quality,Sentinel-1
2017-06-20 05:35:08,27630,232808,2017-06-20T05:35:08,74,23,0,0,3,low quality,Sentinel-1
2017-06-21 05:26:21,27707,232808,2017-06-21T05:26:21,80,17,0,0,3,low quality,Sentinel-1
2017-06-22 17:16:16,27784,232808,2017-06-22T17:16:16,85,13,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-06-23 17:08:50,27859,232808,2017-06-23T17:08:50,72,26,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-06-26 17:33:23,27902,232808,2017-06-26T17:33:23,83,0,16,0,1,high quality,Sentinel-1 Sentinel-2
2017-06-27 05:26:55,27979,232808,2017-06-27T05:26:55,84,15,0,0,1,low quality,Sentinel-1
2017-06-28 17:16:54,28056,232808,2017-06-28T17:16:54,88,9,0,0,3,low quality,Sentinel-1
2017-06-29 17:08:07,28131,232808,2017-06-29T17:08:07,87,12,0,0,1,low quality,Sentinel-1 Sentinel-2
2017-07-02 17:32:32,30842,232808,2017-07-02T17:32:32,80,19,0,0,1,low quality,Sentinel-1 Sentinel-2
2017-07-03 17:25:17,30919,232808,2017-07-03T17:25:17,88,9,0,0,3,low quality,Sentinel-1 Sentinel-2
2017-07-04 17:16:16,30996,232808,2017-07-04T17:16:16,93,5,0,0,2,low quality,Sentinel-1 Sentinel-2
